Id,Label,timeset,componentnumber,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1788,"Zheng,Long",,9,6,2,0.666667,0.75,0
1749,Y.Klonatos,,128,4,2,0.75,0.833333,0
729,S.S.Hahn,,1,2,11,0.151786,0.18571,0
135,"Ding,Zhiyang",,25,6,7,0.297101,0.431243,0
1250,M.A.Z.Alves,,58,5,2,0.777778,0.857143,0
461,S.Yamaguchi,,95,7,1,1,1,0.00001
1894,A.Haghdoost,,194,3,1,1,1,0
949,S.L.Pallickara,,70,2,1,1,1,0
2176,"Son,SeungWoo",,151,7,1,1,1,0.000008
1726,I.Papapanagiotou,,205,2,1,1,1,0
1353,T.I.,,1,7,11,0.160215,0.18587,0
1459,H.Wang,,1,9,11,0.195724,0.241126,0.002918
1398,"Kim,Jeong-Geun",,163,3,1,1,1,0
1115,SeungryoulMaeng,,152,4,1,1,1,0
588,J.Kimmel,,50,8,1,1,1,0
101,"Siegmund,Karsten",,65,8,1,1,1,0
1994,"Delalondre,Fabien",,91,14,1,1,1,0
652,J.Li,,1,16,10,0.190248,0.232394,0.003981
45,C.Xie,,1,14,10,0.19883,0.237642,0.006693
1590,"Kasampalis,Theodoros",,2,9,5,0.410526,0.533761,0
2000,"Metzler,Bernard",,91,14,1,1,1,0
2120,PhilipJ.Rhodes,,223,1,1,1,1,0
2031,T.J.C.Ward,,66,15,1,1,1,0
1069,"Geng,Shaofeng",,136,5,1,1,1,0
938,MoonhaengHur,,215,1,1,1,1,0
405,Z.Zhang,,1,12,9,0.209599,0.250113,0.003724
1034,M.Hou,,68,5,2,0.666667,0.75,0
817,"Liao,Xue-Liang",,109,1,1,1,1,0
678,Z.Li,,1,7,12,0.164365,0.194888,0.001669
1417,BingWei,,183,5,1,1,1,0
2117,"Mishra,Pratik",,224,1,1,1,1,0
1019,JingshengZheng,,61,5,1,1,1,0
1808,"Lee,Sehwan",,98,3,1,1,1,0
494,"Fevgas,Athanasios",,40,5,1,1,1,0
362,C.Park,,1,27,10,0.178344,0.245491,0.0019
456,"Schwan,Karsten",,45,4,1,1,1,0
693,"Huang,Fangting",,76,6,2,0.625,0.7,0
1168,"Ma,Can",,221,3,1,1,1,0
1586,N.Mi,,124,3,1,1,1,0
449,Y.Bao,,1,3,12,0.147277,0.163277,0
1344,"Luo,F.",,64,4,1,1,1,0
424,"Sun,Xiling",,89,3,5,0.285714,0.389167,0
1103,"Huang,Xiaomeng",,118,3,1,1,1,0
1255,B.Yin,,1,7,8,0.226128,0.257548,0.001599
525,S.Jiang,,1,7,10,0.215482,0.261281,0.00308
100,"Mosch,Christian",,65,8,1,1,1,0
9,A.Y.Zomaya,,1,7,11,0.170732,0.202717,0
829,Y.Zhou,,1,9,11,0.168675,0.198901,0.003638
1514,H.Guan,,1,3,11,0.171346,0.197683,0
1439,D.Yu,,1,4,12,0.153747,0.173972,0
918,TaoXie,,171,1,1,1,1,0
496,Y.Kang,,1,3,11,0.151737,0.185044,0.000501
863,"Li,Hong-yan",,12,3,1,1,1,0
1225,GuillermoL.Taboada,,38,3,1,1,1,0
1583,J.Tai,,124,3,1,1,1,0
65,B.Wadhwa,,1,2,10,0.171223,0.194725,0
915,W.Wu,,1,4,9,0.19933,0.221444,0
873,"Chung,Tae-Sun",,186,4,1,1,1,0
1120,M.S.Iqbal,,1,2,11,0.162958,0.184361,0
948,M.Malensek,,70,2,1,1,1,0
1182,H.Shin,,1,4,11,0.152077,0.18662,0
82,"Chen,Shi-Yan",,17,6,1,1,1,0
2212,"Zhang,Ji",,25,4,7,0.29078,0.402787,0
213,"Yoon,Su-Kyung",,163,3,1,1,1,0
1418,"Zhao,N.",,18,9,4,0.5,0.638889,0.000004
1170,"Wang,Weiping",,221,3,1,1,1,0
429,"Panda,DhabaleswarK.",,170,3,2,0.666667,0.75,0
1001,GabrielAntoniu,,169,5,2,0.692308,0.777778,0
1437,Y.Ren,,1,4,12,0.153747,0.173972,0
1794,ScottKlasky,,63,7,1,1,1,0
12,T.Newhall,,11,1,1,1,1,0
263,"Al-Wesabi,OlaAhmed",,79,2,2,0.75,0.833333,0
2188,"Kim,Deok-Hwan",,10,5,1,1,1,0
2216,"Gao,Congming",,101,6,2,0.8,0.875,0
392,F.Meng,,1,6,12,0.146868,0.171359,0.000597
2118,"Somani,ArunK.",,224,1,1,1,1,0
93,P.Long,,1,5,11,0.163855,0.189442,0
1216,"Joo,Yongsoo",,127,3,1,1,1,0
1502,"Eom,H.",,18,4,6,0.3,0.411111,0
44,P.Chen,,1,6,11,0.173723,0.201819,0
1789,QingLiu,,63,7,1,1,1,0
1312,"Xie,Xia",,2,5,5,0.295455,0.391026,0
1987,"Zhao,Ming",,33,9,4,0.472222,0.681373,0.000042
761,YinlongXu,,176,3,1,1,1,0
1211,A.J.Uppal,,97,2,1,1,1,0
1488,P.Riteau,,7,2,1,1,1,0
355,M.Lee,,1,24,10,0.177944,0.241639,0.000071
1012,"Piao,Zhegao",,26,3,1,1,1,0
1802,G.Jia,,1,4,12,0.163912,0.189986,0
1931,"Xiao,Limin",,53,3,1,1,1,0
134,"Yin,Shu",,25,6,7,0.297101,0.431243,0
289,R.J.Baker,,43,2,1,1,1,0
1985,"Shu,Jiwu",,33,4,4,0.414634,0.534314,0
1879,"Lu,Yu-tong",,33,5,5,0.320755,0.490196,0
1238,K.Schwan,,1,5,12,0.138252,0.156138,0
899,"Guo,Jiayang",,25,2,9,0.182222,0.262282,0
1149,J.Romero,,181,4,1,1,1,0
619,G.Yasa,,165,2,1,1,1,0
1410,K.Xie,,1,4,12,0.157251,0.180157,0
511,"Kim,HyeongS.",,89,4,4,0.408163,0.504167,0
887,JalilBoukhobza,,22,8,1,1,1,0.000004
827,X.Meng,,1,4,12,0.144505,0.16352,0
1268,L.Hu,,1,7,13,0.130268,0.151717,0
698,"Cui,Bin",,160,4,1,1,1,0
248,H.M.Aktulga,,1,8,9,0.183571,0.217503,0
556,D.Zhang,,216,3,1,1,1,0
520,C.H.Lunde,,149,3,1,1,1,0
1177,M.Sakamoto,,95,1,2,0.538462,0.571429,0
132,BabakRavandi,,122,1,1,1,1,0
926,"Kim,Sang-Hoon",,107,2,1,1,1,0
1642,X.Ju,,1,3,11,0.171346,0.197683,0
2145,"Shen,Zhiming",,24,7,2,0.769231,0.85,0
1196,N.Bergmann,,1,6,9,0.197757,0.222404,0.000146
1311,"Wang,Xibin",,2,5,5,0.295455,0.391026,0
878,"Song,Zhenlong",,41,5,2,0.692308,0.777778,0
183,"Rao,Guozheng",,201,5,2,0.777778,0.857143,0
272,"Bolt,RoryThomas",,20,9,2,0.655172,0.736842,0
2013,"Grider,Gary",,2,6,6,0.330508,0.447863,0
924,"Lin,Han-Yi",,148,2,1,1,1,0
985,C.Engelmann,,1,5,11,0.170977,0.203039,0.000301
1480,"Aourra,K.",,132,6,1,1,1,0
1475,"Xi,Z.",,104,4,2,0.75,0.833333,0
311,K.Bergman,,31,6,1,1,1,0
1415,ZhenxueHe,,183,5,1,1,1,0
1249,R.Nou,,58,5,2,0.777778,0.857143,0
31,S.S.Vazhkudai,,1,16,10,0.198168,0.247,0.004967
498,E.L.Miller,,1,3,11,0.151737,0.185044,0.000501
273,"Bhimani,Janki",,20,9,2,0.655172,0.736842,0
